y,x1,x2,x3,x4,x5,x6,x7,x8,x9
6,1.8,11.2,50,0,208,42,5.3,80000,369.03
8,0,0,60,1,285,47,6.5,75000,134.65
5,0,0,60,1,1337,113,8.6,502500,1922.88
9,2.1,12,105,1,930,46,8.9,543000,812.19
71,15.1,12,110,1,1200,102,9.2,225800,916.34
17,4.3,12,110,1,530,42,13.6,215000,551.72
360,98.3,9.6,85,1,354,51,10.2,247000,634.44
14,12.3,10,70,1,274,61,7.4,125000,523.82
13,13.3,10,75,0,625,107,9.1,190000,456.31
0,26.7,4.8,45,0,1610,59,11.1,340000,2507.35
0,12.9,4,40,0,165,47,3.3,91575,831.46
3,0.8,3.6,65,1,1050,120,10.5,603000,2978.83
3,1.1,2,65,1,500,86,7.6,225500,1466.12
4,1.1,3.6,60,1,840,121,12.5,335000,1487.94
5,7.3,2,45,1,1166,119,10.7,362300,1194.15
56,3.8,5.2,95,1,1183,78,9.8,425000,2804.17
52,4.9,4.8,95,1,803,81,9.8,260000,540.23
0,17.9,5.2,5,0,38,44,1.4,104000,61.99
0,8.2,12,55,0,208,42,5.3,80000,369.03
0,0,0,35,0,285,47,6.5,75000,134.65
0,0,0,35,0,1337,113,8.6,502500,1922.88
0,1.1,12,50,0,590,55,7.9,227586,1741.27
0,7.1,12,40,0,930,46,8.9,543000,812.19
0,13.5,12,45,0,1200,102,9.2,225800,916.34
0,4.8,12,45,0,530,42,13.6,215000,551.72
4,5.9,11.2,40,1,354,51,10.2,247000,634.44
0,16,12,35,0,274,61,7.4,125000,523.82
0,29.1,12,35,0,625,107,9.1,190000,456.31
0,0.2,6.8,20,0,590,55,7.9,227586,1741.27
0,0.4,6.4,20,0,930,46,8.9,543000,812.19
0,14.4,6,20,0,1200,102,9.2,225800,916.34
0,1.4,6,20,0,530,42,13.6,215000,551.72
6,5.9,4.4,25,1,354,51,10.2,247000,634.44
0,1.7,5.2,25,0,274,61,7.4,125000,523.82
0,6.2,5.2,25,0,625,107,9.1,190000,456.31
5,77,8,55,1,1610,59,11.1,340000,2507.35
0,53,6.4,50,0,165,47,3.3,91575,831.46
12,0.6,5.2,45,1,1050,120,10.5,603000,2978.83
21,11.1,4.8,40,1,500,86,7.6,225500,1466.12
9,0.8,4.8,45,0,840,121,12.5,335000,1487.94
25,0.2,5.2,40,0,1166,119,10.7,362300,1194.15
10,0.2,2,60,0,665,87,10.3,157500,884.62
10,0.1,2,60,0,900,69,7.6,296470,1453.86
7,0,0,50,0,800,41,10.1,293000,528.59
12,0,0,40,0,302,48,10.3,89000,413.95
0,0,0,40,0,983,104,9.9,263776,679.41
10,0,0,30,0,345,103,6.2,112229,166.43
16,2.6,4.4,40,0,1519,93,9.8,325700,1670.39
0,6.3,4.4,30,0,340,79,5.2,191000,210.61
7,5.8,4.4,40,0,1307,103,11.9,560500,4276.09
9,0,0,30,0,509,114,7.4,225000,151.89
10,0,0,30,0,1790,88,8.1,459000,923.1
10,0,0,30,0,276,88,8.1,86000,164.74
7,0,0,35,0,923,80,9.7,247000,2540.12
0,1.4,4.8,40,0,1183,78,9.8,425000,2804.17
0,3.5,4.8,40,0,803,81,9.8,260000,540.23
9,3,4.4,35,0,38,44,1.4,104000,61.99
5,0,0,10,1,285,47,6.5,75000,134.65
0,0,0,10,0,1337,113,8.6,502500,1922.88
0,0,0,45,0,590,55,7.9,227586,1741.27
0,0.1,8.4,55,0,930,46,8.9,543000,812.19
0,15.1,9.6,65,0,1200,102,9.2,225800,916.34
4,0.5,9.2,65,1,530,42,13.6,215000,551.72
27,5.9,11.2,75,1,354,51,10.2,247000,634.44
4,7.6,10.4,65,1,274,61,7.4,125000,523.82
0,5.8,10.4,65,0,625,107,9.1,190000,456.31
5,0,0,65,1,1610,59,11.1,340000,2507.35
